   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.496	       231.2819	            9.9
          0.497	       231.5438	            9.9
          0.498	       231.5936	             10
          0.499	        231.848	             10
            0.5	       231.8875	             10
          0.501	       232.3221	             10
          0.502	       232.3552	             10
          0.503	       232.5622	             10
          0.504	       232.6466	             10
          0.505	       232.8681	             10
          0.506	       232.9509	             10
          0.507	       233.1988	             10
          0.508	        233.251	             10
          0.509	       233.5101	             10
           0.51	       233.5391	             10
          0.511	        233.982	             10
          0.512	       234.0119	             10
          0.513	       234.2247	             10
          0.514	       234.2997	             10
          0.515	       234.5104	             10
          0.516	       234.5894	             10
          0.517	        234.834	             10
          0.518	       234.8735	             10
          0.519	       235.1274	             10
           0.52	       235.1787	             10
          0.521	       235.6319	             10
          0.522	       235.6926	             10
          0.523	       235.9011	             10
          0.524	       235.9723	             10
          0.525	       236.1792	             11
          0.526	       236.2612	             11
          0.527	       236.5233	             11
          0.528	       236.5627	             11
          0.529	       236.8161	             11
           0.53	       236.8552	             11
          0.531	       237.3029	             11
          0.532	       237.3644	             11
          0.533	        237.573	             11
          0.534	       237.6464	             11
          0.535	       237.8571	             11
          0.536	       237.9474	             11
          0.537	       238.2083	             11
          0.538	        238.249	             11
          0.539	       238.5174	             11
           0.54	       238.5678	             11
          0.541	       238.9981	             11
          0.542	       239.0383	             11
          0.543	       239.2521	             11
          0.544	       239.3237	             11
          0.545	       239.5404	             11
          0.546	       239.6186	             11
          0.547	       239.8846	             11
          0.548	       239.9138	             11
          0.549	        240.141	             11
           0.55	       240.2011	             11
          0.551	       240.6354	             11
          0.552	       240.6754	             11
          0.553	       240.8855	             11
          0.554	       240.9349	             11
          0.555	       241.1946	             11
          0.556	        241.305	             11
          0.557	       241.5606	             11
          0.558	          241.6	             11
          0.559	       241.8092	             11
           0.56	       241.8807	             11
          0.561	       242.3159	             11
          0.562	       242.3455	             11
          0.563	       242.5605	             11
          0.564	       242.5893	             11
          0.565	       242.8401	             11
          0.566	       242.9164	             11
          0.567	       243.1673	             11
          0.568	       243.2063	             11
          0.569	       243.4195	             11
           0.57	       243.5009	             11
          0.571	       243.9449	             11
          0.572	       243.9848	             11
          0.573	       244.1935	             11
          0.574	       244.2217	             11
          0.575	       244.4845	             12
          0.576	       244.5648	             12
          0.577	       244.8149	             12
          0.578	       244.8543	             12
          0.579	       245.0649	             12
           0.58	        245.138	             12
          0.581	       245.5892	             12
          0.582	       245.6404	             12
          0.583	       245.8539	             12
          0.584	       245.8824	             12
          0.585	         246.14	             12
          0.586	       246.2279	             12
